0	-858.382929250598	-164633.78125
0	-387.5122943520546	-76932.671875
1	-2832566.7841796875	-27161512.0
0	-184.24644273519516	104427.421875
1	20592.906661987305	-1963.38623046875
2	-295323.89221191406	-1320196.25
3	-41343400.375	-30229882.0
4	-109868320.0	-17525080.0
5	-138146372.0	-462523.1875
6	-145583148.0	5535492.5
7	-178060208.0	21433010.0
8	-203824904.0	34579316.0
9	-170869856.0	26203864.0
10	-215648072.0	63810056.0
11	-231953152.0	50275484.0
12	-235223452.0	101973976.0
13	-266750716.0	142016896.0
14	-286993180.0	131993688.0
15	-274947192.0	140229440.0
16	-282420400.0	125947032.0
17	-285862144.0	140283584.0
18	-306918624.0	138579968.0
19	-289870712.0	142852128.0
0	-27.007068432867527	19267.89453125
1	273.08917236328125	-16690.50390625
2	-14411749.03515625	-41431736.0
3	-1394301036.0	-1985047168.0
4	-12244292992.0	-4619494400.0
5	-19325279744.0	3069901824.0
6	-27084623872.0	29746302976.0
7	-24014885376.0	33322985472.0
8	-5778616832.0	10240988160.0
9	-17147599872.0	7204272128.0
10	-21950007296.0	11286605824.0
11	-22010912256.0	6479987712.0
12	-25492428288.0	9052180480.0
13	-27040824832.0	10667544576.0
14	-30538835968.0	8482674688.0
15	-25584488448.0	11813109760.0
16	-29370581504.0	13807906816.0
17	-30953172480.0	17407983616.0
18	-29303389184.0	14426724352.0
19	-31066298368.0	14991905792.0
20	-31774497792.0	20887519232.0
21	-32990190592.0	20831858688.0
22	-34060560896.0	25239486464.0
23	-37159293952.0	30098577408.0
24	-35324222464.0	22352637952.0
25	-35033781248.0	22172946432.0
26	-39087850496.0	31321098240.0
27	-37409473536.0	26376382464.0
28	-36859399168.0	29456451584.0
29	-36533471232.0	29469007872.0
30	-37666224128.0	27471828992.0
31	-38462444544.0	30590248960.0
32	-39301801984.0	32124043264.0
33	-40870370304.0	35800862720.0
34	-37915345920.0	35401498624.0
35	-40386812928.0	31256711168.0
36	-40184938496.0	35182002176.0
37	-41058379776.0	38098132992.0
38	-40725508096.0	38252560384.0
39	-39935600640.0	30305384448.0
